addadad@ad.ad;2021-12-23 22:07:45.079121;12;0;0 
addadad@ad.ad;2021-12-23 22:07:46.229108;12;13;0 
addadad@ad.ad;2021-12-23 22:07:47.216568;12;13;15 
addadad@ad.ad;2021-12-23 22:08:32.709974;12.0;13.0;1248.0 
addadad@ad.ad;2021-12-23 22:08:33.484672;12.0;13.0;15.0 
addadad@ad.ad;2021-12-23 22:08:33.670426;12.0;13.0;0 
ad@ad.ad;2021-12-23 22:15:00.721868;12;0;0 
ad@ad.ad;2021-12-23 22:15:01.834718;12;13;0 
ad@ad.ad;2021-12-23 22:15:02.845711;12;13;15 
ad@ad.ad;2021-12-23 22:15:54.400432;24.0;13.0;15.0 
